pos	RD	IFTV	DS	DT	ISCNV
49	-10000.0	0.3345416294291911	-100.0	-100.0	0
50	-10000.0	0.3345416294291911	-100.0	-100.0	0
51	-10000.0	0.3345416294291911	-100.0	-100.0	0
52	-10000.0	0.3345416294291911	-100.0	-100.0	0
53	-10000.0	0.3345416294291911	-100.0	-100.0	0
54	-10000.0	0.3345416294291911	-100.0	-100.0	0
55	-10000.0	0.3345416294291911	-100.0	-100.0	0
56	-10000.0	0.3345416294291911	-100.0	-100.0	0
57	-10000.0	0.3345416294291911	-100.0	-100.0	0
58	-10000.0	0.3345416294291911	-100.0	-100.0	0
59	-10000.0	0.3345416294291911	-100.0	-100.0	0
60	-10000.0	0.3345416294291911	-100.0	-100.0	0
61	-10000.0	0.3345416294291911	-100.0	-100.0	0
62	-10000.0	0.3345416294291911	-100.0	-100.0	0
63	-10000.0	0.3345416294291911	-100.0	-100.0	0
64	-10000.0	0.3345416294291911	-100.0	-100.0	0
65	-10000.0	0.3345416294291911	-100.0	-100.0	0
66	-10000.0	0.3345416294291911	-100.0	-100.0	0
67	-10000.0	0.3345416294291911	-100.0	-100.0	0
68	-10000.0	0.3345416294291911	-100.0	-100.0	0
69	-10000.0	0.3345416294291911	-100.0	-100.0	0
70	-10000.0	0.3345416294291911	-100.0	-100.0	0
71	-10000.0	0.3345416294291911	-100.0	-100.0	0
72	-10000.0	0.3345416294291911	-100.0	-100.0	0
73	-10000.0	0.3345416294291911	-100.0	-100.0	0
74	-10000.0	0.3345416294291911	-100.0	-100.0	0
75	-10000.0	0.3345416294291911	-100.0	-100.0	0
76	-10000.0	0.3345416294291911	-100.0	-100.0	0
77	-10000.0	0.3345416294291911	-100.0	-100.0	0
78	-10000.0	0.3345416294291911	-100.0	-100.0	0
79	-10000.0	0.3345416294291911	-100.0	-100.0	0
80	-10000.0	0.3345416294291911	-100.0	-100.0	0
81	-10000.0	0.3345416294291911	-100.0	-100.0	0
82	-10000.0	0.3345416294291911	-100.0	-100.0	0
83	-10000.0	0.3345416294291911	-100.0	-100.0	0
84	-10000.0	0.3345416294291911	-100.0	-100.0	0
85	-10000.0	0.3345416294291911	-100.0	-100.0	0
86	-10000.0	0.3345416294291911	-100.0	-100.0	0
87	-10000.0	0.3345416294291911	-100.0	-100.0	0
88	-10000.0	0.3345416294291911	-100.0	-100.0	0
89	-10000.0	0.3345416294291911	-100.0	-100.0	0
90	-10000.0	0.3345416294291911	-100.0	-100.0	0
91	-10000.0	0.3345416294291911	-100.0	-100.0	0
92	-10000.0	0.3345416294291911	-100.0	-100.0	0
93	-10000.0	0.3345416294291911	-100.0	-100.0	0
94	-10000.0	0.3345416294291911	-100.0	-100.0	0
95	-10000.0	0.3345416294291911	-100.0	-100.0	0
96	-10000.0	0.3345416294291911	-100.0	-100.0	0
97	-10000.0	0.3345416294291911	-100.0	-100.0	0
98	-10000.0	0.3345416294291911	-100.0	-100.0	0
99	-10000.0	0.3345416294291911	-100.0	-100.0	0
100	-10000.0	0.3345416294291911	-100.0	-100.0	0
101	-10000.0	0.3345416294291911	-100.0	-100.0	0
102	-10000.0	0.3345416294291911	-100.0	-100.0	0
103	-10000.0	0.3345416294291911	-100.0	-100.0	0
104	-10000.0	0.3345416294291911	-100.0	-100.0	0
105	-10000.0	0.3345416294291911	-100.0	-100.0	0
106	-10000.0	0.3345416294291911	-100.0	-100.0	0
107	-10000.0	0.3345416294291911	-100.0	-100.0	0
108	-10000.0	0.3345416294291911	-100.0	-100.0	0
109	-10000.0	0.3345416294291911	-100.0	-100.0	0
110	-10000.0	0.3345416294291911	-100.0	-100.0	0
111	-10000.0	0.3345416294291911	-100.0	-100.0	0
112	-10000.0	0.3345416294291911	-100.0	-100.0	0
113	-10000.0	0.3345416294291911	-100.0	-100.0	0
114	-10000.0	0.3345416294291911	-100.0	-100.0	0
115	-10000.0	0.3345416294291911	-100.0	-100.0	0
116	-10000.0	0.3345416294291911	-100.0	-100.0	0
117	-10000.0	0.3345416294291911	-100.0	-100.0	0
118	-10000.0	0.3345416294291911	-100.0	-100.0	0
119	-10000.0	0.3345416294291911	-100.0	-100.0	0
120	-10000.0	0.3345416294291911	-100.0	-100.0	0
121	-10000.0	0.3345416294291911	-100.0	-100.0	0
122	-10000.0	0.3345416294291911	-100.0	-100.0	0
123	-10000.0	0.3345416294291911	-100.0	-100.0	0
124	-10000.0	0.3345416294291911	-100.0	-100.0	0
125	-10000.0	0.3345416294291911	-100.0	-100.0	0
126	-10000.0	0.3345416294291911	-100.0	-100.0	0
127	-10000.0	0.3345416294291911	-100.0	-100.0	0
128	-10000.0	0.3345416294291911	-100.0	-100.0	0
129	-10000.0	0.3345416294291911	-100.0	-100.0	0
130	-10000.0	0.3345416294291911	-100.0	-100.0	0
131	-10000.0	0.3345416294291911	-100.0	-100.0	0
132	-10000.0	0.3345416294291911	-100.0	-100.0	0
133	-10000.0	0.3345416294291911	-100.0	-100.0	0
134	-10000.0	0.3345416294291911	-100.0	-100.0	0
135	-10000.0	0.3345416294291911	-100.0	-100.0	0
136	-10000.0	0.3345416294291911	-100.0	-100.0	0
137	-10000.0	0.3345416294291911	-100.0	-100.0	0
138	-10000.0	0.3345416294291911	-100.0	-100.0	0
139	-10000.0	0.3345416294291911	-100.0	-100.0	0
140	-10000.0	0.3345416294291911	-100.0	-100.0	0
141	-10000.0	0.3345416294291911	-100.0	-100.0	0
142	-10000.0	0.3345416294291911	-100.0	-100.0	0
143	-10000.0	0.3345416294291911	-100.0	-100.0	0
144	-10000.0	0.3345416294291911	-100.0	-100.0	0
145	-10000.0	0.3345416294291911	-100.0	-100.0	0
146	-10000.0	0.3345416294291911	-100.0	-100.0	0
147	-10000.0	0.3345416294291911	-100.0	-100.0	0
148	-10000.0	0.3345416294291911	-100.0	-100.0	0
149	-10000.0	0.3345416294291911	-100.0	-100.0	0
150	-10000.0	0.3345416294291911	-100.0	-100.0	0
151	-10000.0	0.3345416294291911	-100.0	-100.0	0
152	-10000.0	0.3345416294291911	-100.0	-100.0	0
153	-10000.0	0.3345416294291911	-100.0	-100.0	0
154	-10000.0	0.3345416294291911	-100.0	-100.0	0
155	-10000.0	0.3345416294291911	-100.0	-100.0	0
156	-10000.0	0.3345416294291911	-100.0	-100.0	0
157	-10000.0	0.3345416294291911	-100.0	-100.0	0
158	-10000.0	0.3345416294291911	-100.0	-100.0	0
159	-10000.0	0.3345416294291911	-100.0	-100.0	0
160	-10000.0	0.3345416294291911	-100.0	-100.0	0
161	-10000.0	0.3345416294291911	-100.0	-100.0	0
162	-10000.0	0.3345416294291911	-100.0	-100.0	0
163	-10000.0	0.3345416294291911	-100.0	-100.0	0
164	-10000.0	0.3345416294291911	-100.0	-100.0	0
165	-10000.0	0.3345416294291911	-100.0	-100.0	0
166	-10000.0	0.3345416294291911	-100.0	-100.0	0
167	-10000.0	0.3345416294291911	-100.0	-100.0	0
168	-10000.0	0.3345416294291911	-100.0	-100.0	0
169	-10000.0	0.3345416294291911	-100.0	-100.0	0
170	-10000.0	0.3345416294291911	-100.0	-100.0	0
171	-10000.0	0.3345416294291911	-100.0	-100.0	0
172	-10000.0	0.3345416294291911	-100.0	-100.0	0
173	-10000.0	0.3345416294291911	-100.0	-100.0	0
174	-10000.0	0.3345416294291911	-100.0	-100.0	0
175	-10000.0	0.3345416294291911	-100.0	-100.0	0
176	-10000.0	0.3345416294291911	-100.0	-100.0	0
177	-10000.0	0.3345416294291911	-100.0	-100.0	0
178	-10000.0	0.3345416294291911	-100.0	-100.0	0
179	-10000.0	0.3345416294291911	-100.0	-100.0	0
180	-10000.0	0.3345416294291911	-100.0	-100.0	0
181	-10000.0	0.3345416294291911	-100.0	-100.0	0
182	-10000.0	0.3345416294291911	-100.0	-100.0	0
183	-10000.0	0.3345416294291911	-100.0	-100.0	0
184	-10000.0	0.3345416294291911	-100.0	-100.0	0
185	-10000.0	0.3345416294291911	-100.0	-100.0	0
186	-10000.0	0.3345416294291911	-100.0	-100.0	0
187	-10000.0	0.3345416294291911	-100.0	-100.0	0
188	-10000.0	0.3345416294291911	-100.0	-100.0	0
189	-10000.0	0.3345416294291911	-100.0	-100.0	0
190	-10000.0	0.3345416294291911	-100.0	-100.0	0
191	-10000.0	0.3345416294291911	-100.0	-100.0	0
192	-10000.0	0.3345416294291911	-100.0	-100.0	0
193	-10000.0	0.3345416294291911	-100.0	-100.0	0
194	-10000.0	0.3345416294291911	-100.0	-100.0	0
195	-10000.0	0.3345416294291911	-100.0	-100.0	0
196	-10000.0	0.3345416294291911	-100.0	-100.0	0
197	-10000.0	0.3345416294291911	-100.0	-100.0	0
198	-10000.0	0.3345416294291911	-100.0	-100.0	0
199	-10000.0	0.3345416294291911	-100.0	-100.0	0
200	-10000.0	0.3345416294291911	-100.0	-100.0	0
201	-10000.0	0.3345416294291911	-100.0	-100.0	0
202	-10000.0	0.3345416294291911	-100.0	-100.0	0
203	-10000.0	0.3345416294291911	-100.0	-100.0	0
204	-10000.0	0.3345416294291911	-100.0	-100.0	0
205	-10000.0	0.3345416294291911	-100.0	-100.0	0
206	-10000.0	0.3345416294291911	-100.0	-100.0	0
207	-10000.0	0.3345416294291911	-100.0	-100.0	0
208	-10000.0	0.3345416294291911	-100.0	-100.0	0
209	-10000.0	0.3345416294291911	-100.0	-100.0	0
210	-10000.0	0.3345416294291911	-100.0	-100.0	0
211	-10000.0	0.3345416294291911	-100.0	-100.0	0
212	-10000.0	0.3345416294291911	-100.0	-100.0	0
213	-10000.0	0.3345416294291911	-100.0	-100.0	0
214	-10000.0	0.3345416294291911	-100.0	-100.0	0
215	-10000.0	0.3345416294291911	-100.0	-100.0	0
216	-10000.0	0.3345416294291911	-100.0	-100.0	0
217	-10000.0	0.3345416294291911	-100.0	-100.0	0
218	-10000.0	0.3345416294291911	-100.0	-100.0	0
219	-10000.0	0.3345416294291911	-100.0	-100.0	0
220	-10000.0	0.3345416294291911	-100.0	-100.0	0
221	-10000.0	0.3345416294291911	-100.0	-100.0	0
222	-10000.0	0.3345416294291911	-100.0	-100.0	0
223	-10000.0	0.3345416294291911	-100.0	-100.0	0
224	-10000.0	0.3345416294291911	-100.0	-100.0	0
225	-10000.0	0.3345416294291911	-100.0	-100.0	0
226	-10000.0	0.3345416294291911	-100.0	-100.0	0
227	-10000.0	0.3345416294291911	-100.0	-100.0	0
228	-10000.0	0.3345416294291911	-100.0	-100.0	0
229	-10000.0	0.3345416294291911	-100.0	-100.0	0
230	-10000.0	0.3345416294291911	-100.0	-100.0	0
231	-10000.0	0.3345416294291911	-100.0	-100.0	0
232	-10000.0	0.3345416294291911	-100.0	-100.0	0
233	-10000.0	0.3345416294291911	-100.0	-100.0	0
234	-10000.0	0.3345416294291911	-100.0	-100.0	0
235	-10000.0	0.3345416294291911	-100.0	-100.0	0
236	-10000.0	0.3345416294291911	-100.0	-100.0	0
237	-10000.0	0.3345416294291911	-100.0	-100.0	0
238	-10000.0	0.3345416294291911	-100.0	-100.0	0
239	-10000.0	0.3345416294291911	-100.0	-100.0	0
240	-10000.0	0.3345416294291911	-100.0	-100.0	0
241	-10000.0	0.3345416294291911	-100.0	-100.0	0
242	-10000.0	0.3345416294291911	-100.0	-100.0	0
243	-10000.0	0.3345416294291911	-100.0	-100.0	0
244	-10000.0	0.3345416294291911	-100.0	-100.0	0
245	-10000.0	0.3345416294291911	-100.0	-100.0	0
246	-10000.0	0.3345416294291911	-100.0	-100.0	0
247	-10000.0	0.3345416294291911	-100.0	-100.0	0
248	-10000.0	0.3345416294291911	-100.0	-100.0	0
249	-10000.0	0.3345416294291911	-100.0	-100.0	0
250	-10000.0	0.3345416294291911	-100.0	-100.0	0
251	-10000.0	0.3345416294291911	-100.0	-100.0	0
252	-10000.0	0.3345416294291911	-100.0	-100.0	0
253	-10000.0	0.3345416294291911	-100.0	-100.0	0
254	-10000.0	0.3345416294291911	-100.0	-100.0	0
255	-10000.0	0.3345416294291911	-100.0	-100.0	0
256	-10000.0	0.3345416294291911	-100.0	-100.0	0
257	-10000.0	0.3345416294291911	-100.0	-100.0	0
258	-10000.0	0.3345416294291911	-100.0	-100.0	0
259	-10000.0	0.3345416294291911	-100.0	-100.0	0
260	-10000.0	0.3345416294291911	-100.0	-100.0	0
261	-10000.0	0.3345416294291911	-100.0	-100.0	0
262	-10000.0	0.3345416294291911	-100.0	-100.0	0
263	-10000.0	0.3345416294291911	-100.0	-100.0	0
264	-10000.0	0.3345416294291911	-100.0	-100.0	0
265	-10000.0	0.3345416294291911	-100.0	-100.0	0
266	-10000.0	0.3345416294291911	-100.0	-100.0	0
267	-10000.0	0.3345416294291911	-100.0	-100.0	0
268	-10000.0	0.3345416294291911	-100.0	-100.0	0
269	-10000.0	0.3345416294291911	-100.0	-100.0	0
270	-10000.0	0.3345416294291911	-100.0	-100.0	0
271	-10000.0	0.3345416294291911	-100.0	-100.0	0
272	-10000.0	0.3345416294291911	-100.0	-100.0	0
273	-10000.0	0.3345416294291911	-100.0	-100.0	0
274	-10000.0	0.3345416294291911	-100.0	-100.0	0
275	-10000.0	0.3345416294291911	-100.0	-100.0	0
276	-10000.0	0.3345416294291911	-100.0	-100.0	0
277	-10000.0	0.3345416294291911	-100.0	-100.0	0
278	-10000.0	0.3345416294291911	-100.0	-100.0	0
279	-10000.0	0.3345416294291911	-100.0	-100.0	0
280	-10000.0	0.3345416294291911	-100.0	-100.0	0
281	-10000.0	0.3345416294291911	-100.0	-100.0	0
282	-10000.0	0.3345416294291911	-100.0	-100.0	0
283	-10000.0	0.3345416294291911	-100.0	-100.0	0
284	-10000.0	0.3345416294291911	-100.0	-100.0	0
285	-10000.0	0.3345416294291911	-100.0	-100.0	0
286	-10000.0	0.3345416294291911	-100.0	-100.0	0
287	-10000.0	0.3345416294291911	-100.0	-100.0	0
288	-10000.0	0.3345416294291911	-100.0	-100.0	0
289	-10000.0	0.3345416294291911	-100.0	-100.0	0
290	-10000.0	0.3345416294291911	-100.0	-100.0	0
291	-10000.0	0.3345416294291911	-100.0	-100.0	0
292	-10000.0	0.3345416294291911	-100.0	-100.0	0
293	-10000.0	0.3345416294291911	-100.0	-100.0	0
294	-10000.0	0.3345416294291911	-100.0	-100.0	0
295	-10000.0	0.3345416294291911	-100.0	-100.0	0
296	-10000.0	0.3345416294291911	-100.0	-100.0	0
297	-10000.0	0.3345416294291911	-100.0	-100.0	0
298	-10000.0	0.3345416294291911	-100.0	-100.0	0
299	-10000.0	0.3345416294291911	-100.0	-100.0	0
300	-10000.0	0.3345416294291911	-100.0	-100.0	0
301	-10000.0	0.3345416294291911	-100.0	-100.0	0
302	-10000.0	0.3345416294291911	-100.0	-100.0	0
303	-10000.0	0.3345416294291911	-100.0	-100.0	0
304	-10000.0	0.3345416294291911	-100.0	-100.0	0
305	-10000.0	0.3345416294291911	-100.0	-100.0	0
306	-10000.0	0.3345416294291911	-100.0	-100.0	0
307	-10000.0	0.3345416294291911	-100.0	-100.0	0
308	-10000.0	0.3345416294291911	-100.0	-100.0	0
309	-10000.0	0.3345416294291911	-100.0	-100.0	0
310	-10000.0	0.3345416294291911	-100.0	-100.0	0
311	-10000.0	0.3345416294291911	-100.0	-100.0	0
312	-10000.0	0.3345416294291911	-100.0	-100.0	0
313	-10000.0	0.3345416294291911	-100.0	-100.0	0
314	-10000.0	0.3345416294291911	-100.0	-100.0	0
315	-10000.0	0.3345416294291911	-100.0	-100.0	0
316	-10000.0	0.3345416294291911	-100.0	-100.0	0
317	-10000.0	0.3345416294291911	-100.0	-100.0	0
318	-10000.0	0.3345416294291911	-100.0	-100.0	0
319	-10000.0	0.3345416294291911	-100.0	-100.0	0
320	-10000.0	0.3345416294291911	-100.0	-100.0	0
321	-10000.0	0.3345416294291911	-100.0	-100.0	0
322	-10000.0	0.3345416294291911	-100.0	-100.0	0
323	-10000.0	0.3345416294291911	-100.0	-100.0	0
324	-10000.0	0.3345416294291911	-100.0	-100.0	0
325	-10000.0	0.3345416294291911	-100.0	-100.0	0
326	-10000.0	0.3345416294291911	-100.0	-100.0	0
327	-10000.0	0.3345416294291911	-100.0	-100.0	0
328	-10000.0	0.3345416294291911	-100.0	-100.0	0
329	-10000.0	0.3345416294291911	-100.0	-100.0	0
330	-10000.0	0.3345416294291911	-100.0	-100.0	0
331	-10000.0	0.3345416294291911	-100.0	-100.0	0
332	-10000.0	0.3345416294291911	-100.0	-100.0	0
333	-10000.0	0.3345416294291911	-100.0	-100.0	0
334	-10000.0	0.3345416294291911	-100.0	-100.0	0
335	-10000.0	0.3345416294291911	-100.0	-100.0	0
336	-10000.0	0.3345416294291911	-100.0	-100.0	0
337	-10000.0	0.3345416294291911	-100.0	-100.0	0
338	-10000.0	0.3345416294291911	-100.0	-100.0	0
339	-10000.0	0.3345416294291911	-100.0	-100.0	0
340	-10000.0	0.3345416294291911	-100.0	-100.0	0
341	-10000.0	0.3345416294291911	-100.0	-100.0	0
342	-10000.0	0.3345416294291911	-100.0	-100.0	0
343	-10000.0	0.3345416294291911	-100.0	-100.0	0
344	-10000.0	0.3345416294291911	-100.0	-100.0	0
345	-10000.0	0.3345416294291911	-100.0	-100.0	0
346	-10000.0	0.3345416294291911	-100.0	-100.0	0
347	-10000.0	0.3345416294291911	-100.0	-100.0	0
348	-10000.0	0.3345416294291911	-100.0	-100.0	0
349	-10000.0	0.3345416294291911	-100.0	-100.0	0
350	-10000.0	0.3345416294291911	-100.0	-100.0	0
351	-10000.0	0.3345416294291911	-100.0	-100.0	0
352	-10000.0	0.3345416294291911	-100.0	-100.0	0
353	-10000.0	0.3345416294291911	-100.0	-100.0	0
354	-10000.0	0.3345416294291911	-100.0	-100.0	0
355	-10000.0	0.3345416294291911	-100.0	-100.0	0
356	-10000.0	0.3345416294291911	-100.0	-100.0	0
357	-10000.0	0.3345416294291911	-100.0	-100.0	0
358	-10000.0	0.3345416294291911	-100.0	-100.0	0
359	-10000.0	0.3345416294291911	-100.0	-100.0	0
360	-10000.0	0.3345416294291911	-100.0	-100.0	0
361	-10000.0	0.3345416294291911	-100.0	-100.0	0
362	-10000.0	0.3345416294291911	-100.0	-100.0	0
363	-10000.0	0.3345416294291911	-100.0	-100.0	0
364	-10000.0	0.3345416294291911	-100.0	-100.0	0
365	-10000.0	0.3345416294291911	-100.0	-100.0	0
366	-10000.0	0.3345416294291911	-100.0	-100.0	0
367	-10000.0	0.3345416294291911	-100.0	-100.0	0
368	-10000.0	0.3345416294291911	-100.0	-100.0	0
369	-10000.0	0.3345416294291911	-100.0	-100.0	0
370	-10000.0	0.3345416294291911	-100.0	-100.0	0
371	-10000.0	0.3345416294291911	-100.0	-100.0	0
372	-10000.0	0.3345416294291911	-100.0	-100.0	0
373	-10000.0	0.3345416294291911	-100.0	-100.0	0
374	-10000.0	0.3345416294291911	-100.0	-100.0	0
375	-10000.0	0.3345416294291911	-100.0	-100.0	0
376	-10000.0	0.3345416294291911	-100.0	-100.0	0
377	-10000.0	0.3345416294291911	-100.0	-100.0	0
378	-10000.0	0.3345416294291911	-100.0	-100.0	0
379	-10000.0	0.3345416294291911	-100.0	-100.0	0
380	-10000.0	0.3345416294291911	-100.0	-100.0	0
381	-10000.0	0.3345416294291911	-100.0	-100.0	0
382	-10000.0	0.3345416294291911	-100.0	-100.0	0
383	-10000.0	0.3345416294291911	-100.0	-100.0	0
384	-10000.0	0.3345416294291911	-100.0	-100.0	0
385	-10000.0	0.3345416294291911	-100.0	-100.0	0
386	-10000.0	0.3345416294291911	-100.0	-100.0	0
387	-10000.0	0.3345416294291911	-100.0	-100.0	0
388	-10000.0	0.3345416294291911	-100.0	-100.0	0
389	-10000.0	0.3345416294291911	-100.0	-100.0	0
390	-10000.0	0.3345416294291911	-100.0	-100.0	0
391	-10000.0	0.3345416294291911	-100.0	-100.0	0
392	-10000.0	0.3345416294291911	-100.0	-100.0	0
393	-10000.0	0.3345416294291911	-100.0	-100.0	0
394	-10000.0	0.3345416294291911	-100.0	-100.0	0
395	-10000.0	0.3345416294291911	-100.0	-100.0	0
396	-10000.0	0.3345416294291911	-100.0	-100.0	0
397	-10000.0	0.3345416294291911	-100.0	-100.0	0
398	-10000.0	0.3345416294291911	-100.0	-100.0	0
399	-10000.0	0.3345416294291911	-100.0	-100.0	0
400	-10000.0	0.3345416294291911	-100.0	-100.0	0
401	-10000.0	0.3345416294291911	-100.0	-100.0	0
402	-10000.0	0.3345416294291911	-100.0	-100.0	0
403	-10000.0	0.3345416294291911	-100.0	-100.0	0
404	-10000.0	0.3345416294291911	-100.0	-100.0	0
405	-10000.0	0.3345416294291911	-100.0	-100.0	0
406	-10000.0	0.3345416294291911	-100.0	-100.0	0
407	-10000.0	0.3345416294291911	-100.0	-100.0	0
408	-10000.0	0.3345416294291911	-100.0	-100.0	0
409	-10000.0	0.3345416294291911	-100.0	-100.0	0
410	-10000.0	0.3345416294291911	-100.0	-100.0	0
411	-10000.0	0.3345416294291911	-100.0	-100.0	0
412	-10000.0	0.3345416294291911	-100.0	-100.0	0
413	-10000.0	0.3345416294291911	-100.0	-100.0	0
414	-10000.0	0.3345416294291911	-100.0	-100.0	0
415	-10000.0	0.3345416294291911	-100.0	-100.0	0
416	-10000.0	0.3345416294291911	-100.0	-100.0	0
417	-10000.0	0.3345416294291911	-100.0	-100.0	0
418	-10000.0	0.3345416294291911	-100.0	-100.0	0
419	-10000.0	0.3345416294291911	-100.0	-100.0	0
420	-10000.0	0.3345416294291911	-100.0	-100.0	0
421	-10000.0	0.3345416294291911	-100.0	-100.0	0
422	-10000.0	0.3345416294291911	-100.0	-100.0	0
423	-10000.0	0.3345416294291911	-100.0	-100.0	0
424	-10000.0	0.3345416294291911	-100.0	-100.0	0
425	-10000.0	0.3345416294291911	-100.0	-100.0	0
426	-10000.0	0.3345416294291911	-100.0	-100.0	0
427	-10000.0	0.3345416294291911	-100.0	-100.0	0
428	-10000.0	0.3345416294291911	-100.0	-100.0	0
429	-10000.0	0.3345416294291911	-100.0	-100.0	0
430	-10000.0	0.3345416294291911	-100.0	-100.0	0
431	-10000.0	0.3345416294291911	-100.0	-100.0	0
432	-10000.0	0.3345416294291911	-100.0	-100.0	0
433	-10000.0	0.3345416294291911	-100.0	-100.0	0
434	-10000.0	0.3345416294291911	-100.0	-100.0	0
435	-10000.0	0.3345416294291911	-100.0	-100.0	0
436	-10000.0	0.3345416294291911	-100.0	-100.0	0
437	-10000.0	0.3345416294291911	-100.0	-100.0	0
438	-10000.0	0.3345416294291911	-100.0	-100.0	0
439	-10000.0	0.3345416294291911	-100.0	-100.0	0
440	-10000.0	0.3345416294291911	-100.0	-100.0	0
441	-10000.0	0.3345416294291911	-100.0	-100.0	0
442	-10000.0	0.3345416294291911	-100.0	-100.0	0
443	-10000.0	0.3345416294291911	-100.0	-100.0	0
444	-10000.0	0.3345416294291911	-100.0	-100.0	0
445	-10000.0	0.3345416294291911	-100.0	-100.0	0
446	-10000.0	0.3345416294291911	-100.0	-100.0	0
447	-10000.0	0.3345416294291911	-100.0	-100.0	0
448	-10000.0	0.3345416294291911	-100.0	-100.0	0
449	-10000.0	0.3345416294291911	-100.0	-100.0	0
450	-10000.0	0.3345416294291911	-100.0	-100.0	0
451	-10000.0	0.3345416294291911	-100.0	-100.0	0
452	-10000.0	0.3345416294291911	-100.0	-100.0	0
453	-10000.0	0.3345416294291911	-100.0	-100.0	0
454	-10000.0	0.3345416294291911	-100.0	-100.0	0
455	-10000.0	0.3345416294291911	-100.0	-100.0	0
456	-10000.0	0.3345416294291911	-100.0	-100.0	0
457	-10000.0	0.3345416294291911	-100.0	-100.0	0
458	-10000.0	0.3345416294291911	-100.0	-100.0	0
459	-10000.0	0.3345416294291911	-100.0	-100.0	0
460	-10000.0	0.3345416294291911	-100.0	-100.0	0
461	-10000.0	0.3345416294291911	-100.0	-100.0	0
462	-10000.0	0.3345416294291911	-100.0	-100.0	0
463	-10000.0	0.3345416294291911	-100.0	-100.0	0
464	-10000.0	0.3345416294291911	-100.0	-100.0	0
465	-10000.0	0.3345416294291911	-100.0	-100.0	0
466	-10000.0	0.3345416294291911	-100.0	-100.0	0
467	-10000.0	0.3345416294291911	-100.0	-100.0	0
468	-10000.0	0.3345416294291911	-100.0	-100.0	0
469	-10000.0	0.3345416294291911	-100.0	-100.0	0
470	-10000.0	0.3345416294291911	-100.0	-100.0	0
471	-10000.0	0.3345416294291911	-100.0	-100.0	0
472	-10000.0	0.3345416294291911	-100.0	-100.0	0
473	-10000.0	0.3345416294291911	-100.0	-100.0	0
474	-10000.0	0.3345416294291911	-100.0	-100.0	0
475	-10000.0	0.3345416294291911	-100.0	-100.0	0
476	-10000.0	0.3345416294291911	-100.0	-100.0	0
477	-10000.0	0.3345416294291911	-100.0	-100.0	0
478	-10000.0	0.3345416294291911	-100.0	-100.0	0
479	-10000.0	0.3345416294291911	-100.0	-100.0	0
480	-10000.0	0.3345416294291911	-100.0	-100.0	0
